Código ,Município,Matrículas Ensino Médio -Rede Estadual 2021
2700102,Água Branca ,742
2700201,Anadia ,524
2700300,Arapiraca ,7420
2700409,Atalaia ,1439
2700508,Barra de Santo Antônio ,487
2700607,Barra de São Miguel ,292
2700706,Batalha ,649
2700805,Belém ,149
2700904,Belo Monte ,159
2701001,Boca da Mata ,801
2701100,Branquinha ,439
2701209,Cacimbinhas ,490
2701308,Cajueiro ,622
2701357,Campestre ,252
2701407,Campo Alegre ,1542
2701506,Campo Grande ,0
2701605,Canapi ,704
2701704,Capela ,516
2701803,Carneiros ,405
2701902,Chã Preta ,292
2702009,Coité do Nóia ,434
2702108,Colônia Leopoldina ,696
2702207,Coqueiro Seco ,202
2702306,Coruripe ,2588
2702355,Craíbas ,800
2702405,Delmiro Gouveia ,1407
2702504,Dois Riachos ,357
2702553,Estrela de Alagoas ,507
2702603,Feira Grande ,754
2702702,Feliz Deserto ,206
2702801,Flexeiras ,0
2702900,Girau do Ponciano ,1752
2703007,Ibateguara ,576
2703106,Igaci ,775
2703205,Igreja Nova ,898
2703304,Inhapi ,694
2703403,Jacaré dos Homens ,265
2703502,Jacuípe ,256
2703601,Japaratinga ,296
2703700,Jaramataia ,163
2703759,Jequiá da Praia ,0
2703809,Joaquim Gomes ,870
2703908,Jundiá ,200
2704005,Junqueiro ,1128
2704104,Lagoa da Canoa ,712
2704203,Limoeiro de Anadia ,955
2704302,Maceió ,20520
2704401,Major Isidoro ,719
2704906,Mar Vermelho ,161
2704500,Maragogi ,920
2704609,Maravilha ,370
2704708,Marechal Deodoro ,1640
2704807,Maribondo ,461
2705002,Mata Grande ,903
2705101,Matriz de Camaragibe ,902
2705200,Messias ,852
2705309,Minador do Negrão ,260
2705408,Monteirópolis ,290
2705507,Murici ,1183
2705606,Novo Lino ,392
2705705,Olho d'Água das Flores ,724
2705804,Olho d'Água do Casado ,272
2705903,Olho d'Água Grande ,234
2706000,Olivença ,441
2706109,Ouro Branco ,482
2706208,Palestina ,237
2706307,Palmeira dos Índios ,2276
2706406,Pão de Açúcar ,1018
2706422,Pariconha ,575
2706448,Paripueira ,583
2706505,Passo de Camaragibe ,559
2706604,Paulo Jacinto ,335
2706703,Penedo ,1767
2706802,Piaçabuçu ,677
2706901,Pilar ,1057
2707008,Pindoba ,113
2707107,Piranhas ,864
2707206,Poço das Trincheiras ,579
2707305,Porto Calvo ,924
2707404,Porto de Pedras ,329
2707503,Porto Real do Colégio ,674
2707602,Quebrangulo ,287
2707701,Rio Largo ,3453
2707800,Roteiro ,0
2707909,Santa Luzia do Norte ,260
2708006,Santana do Ipanema ,1775
2708105,Santana do Mundaú ,522
2708204,São Brás ,208
2708303,São José da Laje ,831
2708402,São José da Tapera ,1221
2708501,São Luís do Quitunde ,1213
2708600,São Miguel dos Campos ,2107
2708709,São Miguel dos Milagres ,293
2708808,São Sebastião ,1019
2708907,Satuba ,512
2708956,Senador Rui Palmeira ,501
2709004,Tanque d'Arca ,174
2709103,Taquarana ,770
2709152,Teotônio Vilela ,1758
2709202,Traipu ,784
2709301,União dos Palmares ,2380
2709400,Viçosa ,823